Headline,URL
Russia says six killed and 40 injured as Ukrainian drone hits busy beach,https://www.bbc.com/news/live/c74y9d19jd7t
English FA set to withdraw support for Fifa president Infantino,https://www.bbc.com/sport/football/articles/cp30vg829nxo
India's ex-wrestling chief cleared in sexual harassment case,https://www.bbc.com/news/articles/c0rd0r055nqo
Malaysian boy on trial for allegedly murdering girl in school,https://www.bbc.com/news/articles/cgewq549988o
Iran says it is in talks with Oman but not the US after Trump says negotiations to resume,https://www.bbc.com/news/articles/c23579jzv08o
Aung San Suu Kyi appears healthy in first confirmed outside contact for 2.5 years,https://www.bbc.com/news/articles/c1e1d5j6660o
Two workers killed in blast after re-entering quake-hit Japan mall on boss' order,https://www.bbc.com/news/articles/c24mr09r99eo
'What was my fault?': How India's exam paper leak ended young lives,https://www.bbc.com/news/articles/crl7jl1d95eo
Massive Attack respond after Singapore ban over Palestine display,https://www.bbc.com/news/articles/cr59qe86yj4o
Inside the city gripped by deadly protests in Pakistan-administered Kashmir,https://www.bbc.com/news/articles/c5yvqk69enko
