OrderID,Date,Product,Category,Region,Quantity,UnitPrice,Sales
1001,2021-01-01,Running Shoes,Sports,West,3.0,54.31,162.93
1002,2021-01-01,Mechanical Keyboard,Electronics,West,4.0,62.41,249.64
1003,2021-01-01,Mechanical Keyboard,Electronics,West,4.0,52.02,208.08
1000,2021-01-01,USB-C Charger,Electronics,East,3.0,12.18,36.54
1005,2021-01-02,Coffee Maker,Home & Kitchen,West,7.0,50.7,354.9
1004,2021-01-02,Wireless Mouse,Electronics,East,3.0,15.0,45.0
1006,2021-01-03,Cotton T-Shirt,Clothing,East,5.0,15.78,78.9
1007,2021-01-03,Running Shoes,Sports,North,7.0,54.2,379.4
1008,2021-01-04,Mechanical Keyboard,Electronics,West,4.0,55.55,222.2
1009,2021-01-04,Cricket Bat,Sports,West,5.0,49.87,249.35
1010,2021-01-04,USB-C Charger,Electronics,South,1.0,11.58,11.58
1012,2021-01-05,Coffee Maker,Home & Kitchen,South,2.0,56.19,112.38
1013,2021-01-05,Face Moisturizer,Beauty,East,7.0,16.6,116.2
1011,2021-01-05,Yoga Mat,Sports,North,7.0,22.21,155.47
1014,2021-01-06,Winter Jacket,Clothing,North,4.0,77.43,387.15
1016,2021-01-07,Bed Sheet Set,Home & Kitchen,North,1.0,30.68,34.4
1015,2021-01-07,Coffee Maker,Home & Kitchen,North,1.0,48.7,48.7
1018,2021-01-08,USB-C Charger,Electronics,North,3.0,11.02,33.06
1017,2021-01-08,Non-Stick Pan,Home & Kitchen,East,1.0,26.95,26.95
1019,2021-01-09,Cricket Bat,Sports,North,4.0,44.22,176.88
1020,2021-01-10,Cricket Bat,Sports,South,5.0,48.71,243.55
1022,2021-01-11,Cricket Bat,Sports,East,6.0,46.06,276.36
1023,2021-01-11,Cotton T-Shirt,Clothing,East,7.0,15.26,97.44
1021,2021-01-11,Face Moisturizer,Beauty,East,1.0,19.45,19.45
1024,2021-01-12,Cricket Bat,Sports,North,4.0,46.84,187.36
1026,2021-01-13,Cricket Bat,Sports,East,3.0,42.31,126.93
1025,2021-01-13,Shampoo,Beauty,East,5.0,9.57,47.85
1031,2021-01-14,Cricket Bat,Sports,South,3.0,45.2,135.6
1028,2021-01-14,Cricket Bat,Sports,West,1.0,44.08,44.08
1030,2021-01-14,Cotton T-Shirt,Clothing,West,5.0,16.73,83.65
1027,2021-01-14,Face Moisturizer,Beauty,South,3.0,17.66,52.98
1029,2021-01-14,Wireless Mouse,Electronics,North,1.0,15.93,15.93
1032,2021-01-15,Coffee Maker,Home & Kitchen,West,7.0,47.1,329.7
1033,2021-01-16,Face Moisturizer,Beauty,North,2.0,20.53,41.06
1034,2021-01-16,Face Moisturizer,Beauty,East,2.0,19.41,38.82
1036,2021-01-17,Running Shoes,Sports,West,1.0,63.52,63.52
1035,2021-01-17,Mechanical Keyboard,Electronics,South,4.0,50.21,200.84
1039,2021-01-18,Running Shoes,Sports,West,2.0,63.5,127.0
1037,2021-01-18,Cricket Bat,Sports,West,7.0,49.07,343.49
1038,2021-01-18,Non-Stick Pan,Home & Kitchen,North,7.0,27.52,192.64
1040,2021-01-19,Wireless Mouse,Electronics,North,4.0,15.41,61.64
1042,2021-01-20,Cricket Bat,Sports,West,1.0,48.27,48.27
1041,2021-01-20,Denim Jeans,Clothing,East,7.0,38.26,267.82
1043,2021-01-20,Cricket Bat,Sports,South,1.0,48.1,48.1
1044,2021-01-21,Denim Jeans,Clothing,East,7.0,42.6,298.2
1045,2021-01-21,Denim Jeans,Clothing,West,1.0,41.17,41.17
1050,2021-01-22,Face Moisturizer,Beauty,North,3.0,20.58,61.74
1046,2021-01-22,Cotton T-Shirt,Clothing,East,3.0,16.22,48.66
1047,2021-01-22,USB-C Charger,Electronics,West,6.0,13.14,78.84
1048,2021-01-22,Winter Jacket,Clothing,West,3.0,90.71,272.13
