OrderID,Date,Product,Category,Region,Quantity,UnitPrice,Sales
1960,2021-12-06,Coffee Maker,Home & Kitchen,East,7.0,53.23,372.61
1272,2021-04-15,Shampoo,Beauty,North,1.0,10.7,10.7
5122,2024-09-28,USB-C Charger,Electronics,West,4.0,12.32,49.28
1017,2021-01-08,Non-Stick Pan,Home & Kitchen,East,1.0,26.95,26.95
1057,2021-01-26,Bluetooth Speaker,Electronics,East,1.0,31.88,31.88
4091,2023-11-24,Winter Jacket,Clothing,East,2.0,87.78,175.56
1810,2021-10-27,Wireless Mouse,Electronics,South,2.0,17.03,34.06
2009,2021-12-19,Denim Jeans,Clothing,West,6.0,43.82,262.92
1246,2021-04-06,USB-C Charger,Electronics,East,4.0,10.95,43.8
2938,2022-11-22,Mechanical Keyboard,Electronics,South,5.0,59.82,
1853,2021-11-08,USB-C Charger,Electronics,South,5.0,11.77,58.85
4965,2024-08-05,Cricket Bat,Sports,North,7.0,48.65,340.55
3505,2023-06-05,Cotton T-Shirt,Clothing,South,2.0,13.71,27.42
2575,2022-07-14,Mechanical Keyboard,Electronics,West,5.0,50.89,254.45
4385,2024-02-09,Wireless Mouse,Electronics,South,3.0,15.4,46.2
3194,2023-02-12,USB-C Charger,Electronics,South,4.0,13.3,53.2
4237,2023-12-27,USB-C Charger,Electronics,South,6.0,13.45,80.7
4256,2023-12-31,Face Moisturizer,Beauty,East,6.0,16.29,97.74
3149,2023-01-29,Mechanical Keyboard,Electronics,East,7.0,51.08,357.56
4101,2023-11-26,Cotton T-Shirt,Clothing,West,7.0,15.45,108.15
3777,2023-08-23,Cricket Bat,Sports,West,4.0,46.07,184.28
4162,2023-12-09,Coffee Maker,Home & Kitchen,West,,53.52,214.08
5423,2024-12-07,Shampoo,Beauty,South,3.0,9.46,28.38
4400,2024-02-13,Running Shoes,Sports,North,4.0,60.89,243.56
4411,2024-02-15,Mechanical Keyboard,Electronics,South,6.0,55.65,
5033,2024-08-29,Mechanical Keyboard,Electronics,South,7.0,54.89,384.23
4617,2024-04-28,Mechanical Keyboard,Electronics,North,2.0,56.0,112.0
1022,2021-01-11,Cricket Bat,Sports,East,6.0,46.06,276.36
2956,2022-11-26,Bluetooth Speaker,Electronics,East,7.0,32.61,228.27
4737,2024-06-04,Winter Jacket,Clothing,North,1.0,78.28,78.28
2866,2022-11-03,Yoga Mat,Sports,North,3.0,21.89,65.67
1992,2021-12-14,Denim Jeans,Clothing,North,6.0,37.08,222.48
1325,2021-05-02,Mechanical Keyboard,Electronics,North,1.0,61.63,61.63
2176,2022-02-20,Coffee Maker,Home & Kitchen,West,4.0,51.07,204.28
5419,2024-12-06,Denim Jeans,Clothing,West,3.0,43.51,130.53
2201,2022-02-28,Cricket Bat,Sports,South,4.0,46.27,185.08
2943,2022-11-23,Wireless Mouse,Electronics,East,6.0,14.25,85.5
4495,2024-03-14,Coffee Maker,Home & Kitchen,South,6.0,46.61,279.66
3544,2023-06-17,Running Shoes,Sports,West,6.0,65.27,391.62
4262,2024-01-01,Wireless Mouse,Electronics,East,1.0,14.11,14.11
4510,2024-03-18,USB-C Charger,Electronics,South,3.0,11.42,34.26
3526,2023-06-12,Cricket Bat,Sports,West,7.0,44.84,313.88
5133,2024-10-02,Cotton T-Shirt,Clothing,East,2.0,14.36,28.72
3719,2023-07-31,Non-Stick Pan,Home & Kitchen,West,5.0,22.96,114.8
2044,2021-12-30,Bluetooth Speaker,Electronics,East,4.0,38.3,153.2
1719,2021-09-23,Bluetooth Speaker,Electronics,North,6.0,34.98,209.88
2059,2022-01-04,Cricket Bat,Sports,West,5.0,51.27,256.35
5428,2024-12-07,Winter Jacket,Clothing,,6.0,77.97,467.82
2171,2022-02-19,Running Shoes,Sports,,6.0,60.08,360.48
2539,2022-07-02,Cotton T-Shirt,Clothing,North,1.0,15.28,15.28
2103,2022-01-21,Cotton T-Shirt,Clothing,South,,13.55,67.75
4432,2024-02-21,Shampoo,Beauty,South,1.0,10.4,10.4
3959,2023-10-21,Running Shoes,Sports,,6.0,66.83,400.98
3462,2023-05-22,Bed Sheet Set,Home & Kitchen,,4.0,29.35,117.4
3775,2023-08-23,Denim Jeans,Clothing,West,2.0,37.28,74.56
4206,2023-12-19,Shampoo,Beauty,South,6.0,10.59,63.54
5145,2024-10-05,Coffee Maker,Home & Kitchen,South,,52.53,367.71
1848,2021-11-06,Denim Jeans,Clothing,West,2.0,41.79,83.58
1434,2021-06-08,Yoga Mat,Sports,West,5.0,18.09,90.45
4043,2023-11-11,Winter Jacket,Clothing,East,2.0,85.8,171.6
3574,2023-06-24,Mechanical Keyboard,Electronics,West,6.0,62.09,372.54
4368,2024-02-04,Winter Jacket,Clothing,South,5.0,82.08,410.4
5193,2024-10-17,Bluetooth Speaker,Electronics,East,2.0,34.88,69.76
4782,2024-06-17,Coffee Maker,Home & Kitchen,South,5.0,45.47,227.35
2241,2022-03-16,Shampoo,Beauty,East,2.0,10.41,20.82
1232,2021-03-30,Winter Jacket,Clothing,North,2.0,83.32,166.64
4594,2024-04-19,Cotton T-Shirt,Clothing,East,1.0,14.29,14.29
3257,2023-03-10,Non-Stick Pan,Home & Kitchen,East,3.0,27.46,82.38
2188,2022-02-24,Shampoo,Beauty,North,3.0,10.98,32.94
3429,2023-05-10,Mechanical Keyboard,Electronics,North,5.0,58.33,291.65
4917,2024-07-21,Yoga Mat,Sports,North,4.0,22.88,91.52
4167,2023-12-10,USB-C Charger,Electronics,South,5.0,12.86,64.3
3131,2023-01-21,Non-Stick Pan,Home & Kitchen,West,3.0,23.5,70.5
4646,2024-05-06,Cotton T-Shirt,Clothing,West,6.0,16.39,98.34
2292,2022-04-01,Face Moisturizer,Beauty,South,6.0,18.69,112.14
3522,2023-06-11,Coffee Maker,Home & Kitchen,North,4.0,45.37,181.48
4340,2024-01-25,Winter Jacket,Clothing,North,1.0,75.62,75.62
5095,2024-09-18,Bed Sheet Set,Home & Kitchen,North,7.0,33.15,232.05
5025,2024-08-25,Bed Sheet Set,Home & Kitchen,East,5.0,33.28,166.4
4881,2024-07-14,Mechanical Keyboard,Electronics,East,1.0,57.09,57.09
2443,2022-06-01,Wireless Mouse,Electronics,North,4.0,17.08,68.32
3218,2023-02-23,Cotton T-Shirt,Clothing,West,1.0,16.06,16.06
1835,2021-11-03,Mechanical Keyboard,Electronics,West,6.0,56.09,336.54
